var_name,concept_id
cancer_12,43528695
cancer_13,43528886
cancer_14,43528886
cancer_15,43529184
cancer_16,43529624
cancer_17,43529684
cancer_18,43529733
cancer_19,43529817
cancer_20,43529866
cancer_21,43529909
